1,Last crawled,From,to,URL,URL,
100,2025-11-17,https://murabaat.com/mshfa-al-ayn-wal-adhn-al-tkhssy,https://twsia.com/eye-ear-specialty-hospital,https://twsia.com/mshfa-al-ayn-wal-adhn-al-tkhssy,https://twsia.com/mshfa-al-ayn-wal-adhn-al-tkhssy,
101,2025-11-17,https://murabaat.com/mydtrans-llmlahh-w-al-khdmat,https://twsia.com/mydtrans-llmlahh-w-al-khdmat,,https://twsia.com/mydtrans-llmlahh-w-al-khdmat,
102,2025-11-17,https://murabaat.com/rwdh-shms-al-ghd-al-khash,https://twsia.com/kindergarten -shms-al-ghd-al-khash,https://twsia.com/rwdh-shms-al-ghd-al-khash,https://twsia.com/rwdh-shms-al-ghd-al-khash,
103,2025-11-17,https://murabaat.com/country/sy/city/idlib,https://twsia.com/country/sy/city/idlib,,https://twsia.com/country/sy/city/idlib,
104,2025-11-17,https://murabaat.com/mdars-bnah-al-ajyal-al-khash,https://twsia.com/bonat-al-ajyal-private-school,https://twsia.com/mdars-bnah-al-ajyal-al-khash,https://twsia.com/mdars-bnah-al-ajyal-al-khash,
105,2025-11-17,https://murabaat.com/mshfa-al-mna,https://twsia.com/al-muna-hospital,https://twsia.com/mshfa-al-mna,https://twsia.com/mshfa-al-mna,
106,2025-11-17,https://murabaat.com/mdars-al-marfh-al-khash,https://twsia.com/al-maarifah-private-school,https://twsia.com/mdars-al-marfh-al-khash,https://twsia.com/mdars-al-marfh-al-khash,
107,2025-11-17,https://murabaat.com/mdrsh-al-krml-al-khash,https://twsia.com/al-karamel-private-school,https://twsia.com/mdrsh-al-krml-al-khash,https://twsia.com/mdrsh-al-krml-al-khash,
108,2025-11-17,https://murabaat.com/mdrsh-al-ghsanyh-al-arthwdhksyh-al-khash,https://twsia.com/al-ghassaniyah-private-school,https://twsia.com/mdrsh-al-ghsanyh-al-arthwdhksyh-al-khash,https://twsia.com/mdrsh-al-ghsanyh-al-arthwdhksyh-al-khash,
109,2025-11-17,https://murabaat.com/alchaer-jewellery,https://twsia.com/alchaer-jewellery,,https://twsia.com/alchaer-jewellery,
110,2025-11-17,https://murabaat.com/hotel-al-jawaher,https://twsia.com/hotel-al-jawaher,,https://twsia.com/hotel-al-jawaher,
111,2025-11-17,https://murabaat.com/hotel-al-faisal,https://twsia.com/hotel-al-faisal,,https://twsia.com/hotel-al-faisal,
112,2025-11-16,https://murabaat.com/country/sy/city/aleppo/sub-area/afrin/category/hospitals-clinics,https://twsia.com/country/sy/city/aleppo/sub-area/afrin/category/hospitals-clinics,,https://twsia.com/country/sy/city/aleppo/sub-area/afrin/category/hospitals-clinics,
113,2025-11-16,https://murabaat.com/mdrsh-al-alm-al-hdyth-al-khash,https://twsia.com/modern-science-private-school,https://twsia.com/mdrsh-al-alm-al-hdyth-al-khash,https://twsia.com/mdrsh-al-alm-al-hdyth-al-khash,
114,2025-11-16,https://murabaat.com/mdrsh-al-mnhl-al-khash,https://twsia.com/al-manhal-private-school,https://twsia.com/mdrsh-al-mnhl-al-khash,https://twsia.com/mdrsh-al-mnhl-al-khash,
115,2025-11-16,https://murabaat.com/mdrsh-dwhh-al-wrwd-al-khash,https://twsia.com/dawhat-al-warod-private-school,https://twsia.com/mdrsh-dwhh-al-wrwd-al-khash,https://twsia.com/mdrsh-dwhh-al-wrwd-al-khash,
116,2025-11-16,https://murabaat.com/fndq-byt-al-wal-y,https://twsia.com/beit-al-wali-hotel,https://twsia.com/fndq-byt-al-wal-y,https://twsia.com/fndq-byt-al-wal-y,
117,2025-11-16,https://murabaat.com/al-brj,https://twsia.com/al-brj,,https://twsia.com/al-brj,
118,2025-11-16,https://murabaat.com/fndq-al-qsr,https://twsia.com/al-qasr-hotel,https://twsia.com/fndq-al-qsr,https://twsia.com/fndq-al-qsr,
119,2025-11-16,https://murabaat.com/mstshfa-al-dyaa-al-jrahy,https://twsia.com/al-diaa-surgical-hospital,https://twsia.com/mstshfa-al-dyaa-al-jrahy,https://twsia.com/mstshfa-al-dyaa-al-jrahy,
